Year,EventSummary,FullDescription,Significance,EraTag,ImageLink
c. 2500 BCE,Indus Valley Civilization,"The rise of advanced urban cultures in Harappa and Mohenjo-Daro, showing sophisticated planning.",5,Ancient India,IVC.jpg
c. 1500 BCE,Vedic Period Begins,"The composition of the Vedas, establishing foundational religious  and social structures (e.g., Varna system).",4,Ancient India,vedas.jpg
c. 563 BCE,Birth of Siddhartha Gautama (Buddha),"Founding of Buddhism, which profoundly impacted Indian and Asian philosophy and culture.",5,Ancient India,buddha.jpg
c. 322 BCE,Mauryan Empire Founded,"Chandragupta Maurya unites most of the subcontinent, creating one of India's largest empires.",5,Ancient India,maurya.jpg
c. 261 BCE,Kalinga War,"Emperor Ashoka's brutal conquest of Kalinga, leading to his conversion to Buddhism and reign of peace.",4,Ancient India,kalinga.jpg
320 CE,Gupta Empire's Golden Age,"Period of great achievements in science, mathematics (e.g., zero concept), art, and literature (e.g., Kalidasa).",5,Classical India,gupta.jpg
712 CE,First Arab Invasion (Sindh),"Muhammad bin Qasim's conquest, marking the  first major arrival of Islamic influence in the subcontinent.",3,Medieval India,sindh.jpg|arabtimeline.jpg
1206 CE,Delhi Sultanate Established,Qutb-ud-din Aibak establishes the first major Islamic  empire centered in Delhi.,4,Medieval India,qutub.jpg
1336 CE,Vijayanagara Empire Founded,"Emergence of a dominant Hindu kingdom in South India, known for its extensive temple building.",3,Medieval India,vijayanagara.jpg
1526 CE,Mughal Empire Established,"Babur defeats Ibrahim Lodhi at Panipat, beginning a powerful  empire known for its architectural splendor.",5,Early Modern India,mughal.jpg
1600 CE,East India Company Chartered,"Queen Elizabeth I grants a charter, marking  the formal beginning of British involvement in trade.",4,Colonial Era,EIC.jpg
1857 CE,First War of Independence,"The Great Revolt/Sepoy Mutiny challenges British authority, leading to the end of Company rule.",5,Colonial Era,revolt.jpg
1906 CE,Muslim League Founded,Established in Dhaka to safeguard the political rights of Muslims in British India.,3,Colonial Era,league.jpg
1947 CE,Independence and Partition,"India gains independence from British rule, but is partitioned into the Union of India and Pakistan.",5,Modern India,image folder\1947.jpg
1950 CE,Republic of India Proclaimed,"The Indian Constitution is adopted, establishing a sovereign, socialist, secular, and democratic republic.",4,Modern India,republic.jpg
